gene_name,seq_id
pax-3,WBGene00003939
pbrm-1,WBGene00007042
pes-1,WBGene00003976
pes-10,WBGene00003983
pgp-2,WBGene00003996
pgp-3,WBGene00003997
pha-4,WBGene00004013
pros-1,WBGene00000448
rad-26,WBGene00007761
ref-1,WBGene00004334
ref-2,WBGene00004335
repo-1,WBGene00008683
saeg-2,WBGene00011964
sbp-1,WBGene00004735
sdc-2,WBGene00004746
sdz-28,WBGene00020073
sdz-38,WBGene00014131
sea-1,WBGene00004750
sem-2,WBGene00004771
sex-1,WBGene00004786
skr-8,WBGene00004814
sma-9,WBGene00004862
somi-1,WBGene00010868
spr-4,WBGene00005009
sup-37,WBGene00006342
swsn-7,WBGene00007433
tbx-11,WBGene00006547
tbx-2,WBGene00006543
tbx-35,WBGene00006554
tbx-37,WBGene00006556
tbx-38,WBGene00006557
tbx-8,WBGene00006545
tbx-9,WBGene00006546
tlp-1,WBGene00006580
tps-2,WBGene00006603
ttx-3,WBGene00006654
unc-120,WBGene00006844
unc-130,WBGene00006853
unc-30,WBGene00006766
unc-39,WBGene00006775
unc-86,WBGene00006818
vab-15,WBGene00006881
vab-23,WBGene00014153
vab-7,WBGene00006873
vha-12,WBGene00006921
wrm-1,WBGene00006943
zip-3,WBGene00012330
zip-8,WBGene00017755
ztf-11,WBGene00009939
ztf-13,WBGene00018704
ztf-16,WBGene00019960
ztf-3,WBGene00016905
C05B5.4,WBGene00007321
C25D7.10,WBGene00007720
D1081.8,WBGene00008386
F16B12.6,WBGene00008882
F17C11.1,WBGene00008913
F21A10.2,WBGene00008999
F21D5.9,WBGene00009014
F22D6.2,WBGene00009050
F23B12.7,WBGene00009084
F32H2.6,WBGene00009343
F36A2.3,WBGene00009453
F38C2.7,WBGene00009539
F39B2.1,WBGene00009553
F57A8.1,WBGene00010177
K09A11.1,WBGene00010704
T19B10.2,WBGene00011831
T22C8.3,WBGene00011924
T28H10.3,WBGene00012144
Y116A8C.19,WBGene00013796
B0310.2,WBGene00015138
B0336.3,WBGene00015143
C28G1.4,WBGene00016189
C50F7.5,WBGene00016845
F37B4.10,WBGene00018140
F49E8.2,WBGene00018636
F57C9.4,WBGene00019011
K02D7.1,WBGene00019298
R02D3.7,WBGene00019824
R144.3,WBGene00020093
T01B11.2,WBGene00020139
T20F7.1,WBGene00020630
Y71G12B.6,WBGene00022146
ZK185.1,WBGene00022681
copa-1,WBGene00022119
aptf-4,WBGene00009202
